product_key,n_versions,n_cog,n_non_cog,first_month,first_name
S1A_IW_GRDH_1SDV_20181207T225912_20181207T225937_024926_02BEF7_C8F6,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T225912_20181207T225937_024926_02BEF7_C8F6.SAFE
S1A_IW_GRDH_1SDV_20181207T233410_20181207T233439_024926_02BEF8_03E8,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T233410_20181207T233439_024926_02BEF8_03E8.SAFE
S1A_IW_GRDH_1SDV_20181207T233439_20181207T233504_024926_02BEF8_2AF7,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T233439_20181207T233504_024926_02BEF8_2AF7.SAFE
S1A_IW_GRDH_1SDV_20181207T233504_20181207T233529_024926_02BEF8_6858,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T233504_20181207T233529_024926_02BEF8_6858.SAFE
S1A_IW_GRDH_1SDV_20181207T233529_20181207T233554_024926_02BEF8_7E1D,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T233529_20181207T233554_024926_02BEF8_7E1D.SAFE
S1A_IW_GRDH_1SDV_20181207T233554_20181207T233619_024926_02BEF8_E8DF,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T233554_20181207T233619_024926_02BEF8_E8DF.SAFE
S1A_IW_GRDH_1SDV_20181207T233619_20181207T233644_024926_02BEF8_F9EC,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T233619_20181207T233644_024926_02BEF8_F9EC.SAFE
S1A_IW_GRDH_1SDV_20181207T233644_20181207T233709_024926_02BEF8_ADD9,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T233644_20181207T233709_024926_02BEF8_ADD9.SAFE
S1A_IW_GRDH_1SDV_20181207T233709_20181207T233734_024926_02BEF8_D4CA,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T233709_20181207T233734_024926_02BEF8_D4CA.SAFE
S1A_IW_GRDH_1SDV_20181207T233734_20181207T233759_024926_02BEF8_B415,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T233734_20181207T233759_024926_02BEF8_B415.SAFE
S1A_IW_GRDH_1SDV_20181207T233759_20181207T233824_024926_02BEF8_657B,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T233759_20181207T233824_024926_02BEF8_657B.SAFE
S1A_IW_GRDH_1SDV_20181207T233824_20181207T233849_024926_02BEF8_C9E8,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T233824_20181207T233849_024926_02BEF8_C9E8.SAFE
S1A_IW_GRDH_1SDV_20181207T233849_20181207T233914_024926_02BEF8_D314,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T233849_20181207T233914_024926_02BEF8_D314.SAFE
S1A_IW_GRDH_1SDV_20181207T233914_20181207T233939_024926_02BEF8_5577,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T233914_20181207T233939_024926_02BEF8_5577.SAFE
S1A_IW_GRDH_1SDV_20181207T233939_20181207T234004_024926_02BEF8_9677,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T233939_20181207T234004_024926_02BEF8_9677.SAFE
S1A_IW_GRDH_1SDV_20181207T234004_20181207T234029_024926_02BEF8_9C4D,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T234004_20181207T234029_024926_02BEF8_9C4D.SAFE
S1A_IW_GRDH_1SDV_20181207T234029_20181207T234054_024926_02BEF8_73AB,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T234029_20181207T234054_024926_02BEF8_73AB.SAFE
