city_id,city_name,country,continent,W0_baseline,W1_equal,W2_gap_heavy,W3_continuity_heavy,W4_coverage_only,W5_dualpol_heavy,W6_no_1b_shock
South_Asia_r02_c02_+25539+6970,Shorapur,India,South_Asia,0.6422757684579539,0.633126701152865,0.660284618015476,0.6588146081826344,0.6538274336283185,0.6944906160489077,0.6288483284169125
South_Asia_r02_c02_+25539+7108,Gangavati,India,South_Asia,0.6446699852507375,0.6096423303834808,0.6603189528023599,0.6635687069813176,0.6703466076696164,0.6945249508357916,0.6418276794493609
South_Asia_r02_c02_+25540+6897,Shahabad,India,South_Asia,0.6419272369714847,0.6354064241232382,0.660194198623402,0.6582079646017699,0.6520206489675515,0.6944001966568337,0.6274287118977384
South_Asia_r02_c02_+25541+6948,Shahpur,India,South_Asia,0.6416354122770052,0.6339420330570773,0.6598655007725803,0.6579530130636324,0.6522787610619467,0.694071498806012,0.6276315142576205
South_Asia_r02_c02_+25543+6597,Umarkhed,India,South_Asia,0.7445557644397574,0.712432685792308,0.7743492747642411,0.7647622541152737,0.7914454277286136,0.7743492747642411,0.7361356932153392
South_Asia_r02_c02_+25544+6285,Damua,India,South_Asia,0.7450688805765897,0.7121765045768329,0.7747148982757047,0.7654228628774747,0.7924778761061946,0.7747148982757047,0.7369469026548673
South_Asia_r02_c02_+25545+6615,Hadgaon,India,South_Asia,0.7457686634899026,0.7120509038650631,0.7752303154073066,0.7663070115724984,0.793768436578171,0.7752303154073066,0.7379609144542774
South_Asia_r02_c02_+25546+6371,Warud,India,South_Asia,0.7521582691026739,0.700901211659847,0.779186292701494,0.7751302455038539,0.8108038348082596,0.779186292701494,0.7513458702064898
South_Asia_r02_c02_+25547+6818,Homnabad,India,South_Asia,0.6905235988200591,0.6869469026548672,0.7011061946902656,0.7141592920353982,0.7071165191740412,0.7383480825958701,0.673174778761062
South_Asia_r02_c02_+25548+6908,Wadi,India,South_Asia,0.6899705014749263,0.6865781710914453,0.7006637168141594,0.713495575221239,0.7063421828908554,0.7379056047197641,0.6725663716814159
